<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.22	06:15:00	2174.01	2174.64	2172.53	2174.10	1209	0	5
2024.03.22	06:30:00	2174.10	2176.07	2173.72	2175.83	796	0	5
2024.03.22	06:45:00	2175.83	2176.23	2173.75	2173.78	890	0	5
2024.03.22	07:00:00	2173.78	2174.50	2173.45	2173.94	741	0	5
2024.03.22	07:15:00	2173.94	2174.42	2173.24	2173.39	619	0	5
2024.03.22	07:30:00	2173.39	2175.44	2173.39	2174.41	654	0	5
2024.03.22	07:45:00	2174.41	2174.45	2173.47	2173.64	586	0	5
2024.03.22	08:00:00	2173.64	2174.98	2173.06	2174.94	769	0	5
2024.03.22	08:15:00	2174.94	2175.82	2173.84	2174.34	822	0	5
2024.03.22	08:30:00	2174.35	2175.50	2173.38	2174.78	1044	0	5
2024.03.22	08:45:00	2174.78	2174.97	2173.53	2174.33	1073	0	5
2024.03.22	09:00:00	2174.33	2174.78	2172.55	2174.44	985	0	5
2024.03.22	09:15:00	2174.44	2176.32	2173.21	2173.61	1372	0	5
2024.03.22	09:30:00	2173.62	2174.31	2172.50	2172.55	1100	0	5
2024.03.22	09:45:00	2172.54	2173.55	2169.92	2170.11	1659	0	5
2024.03.22	10:00:00	2170.11	2170.49	2167.54	2167.81	1791	0	5
2024.03.22	10:15:00	2167.81	2168.42	2162.61	2165.04	2200	0	5
2024.03.22	10:30:00	2165.02	2169.39	2164.94	2167.22	1578	0	5
2024.03.22	10:45:00	2167.22	2169.96	2165.96	2168.48	1641	0	5
2024.03.22	11:00:00	2168.47	2169.28	2165.77	2166.78	1938	0	5
2024.03.22	11:15:00	2166.78	2167.24	2164.99	2166.31	1676	0	5
2024.03.22	11:30:00	2166.30	2167.79	2165.59	2167.39	1625	0	5
2024.03.22	11:45:00	2167.38	2168.74	2165.51	2167.98	1647	0	5
2024.03.22	12:00:00	2167.99	2170.22	2167.85	2168.86	1838	0	2
2024.03.22	12:15:00	2168.85	2170.06	2167.32	2168.70	1383	0	5
2024.03.22	12:30:00	2168.72	2169.35	2166.42	2167.52	1357	0	5
2024.03.22	12:45:00	2167.53	2167.53	2165.72	2166.69	1293	0	5
2024.03.22	13:00:00	2166.70	2167.38	2166.01	2166.07	1211	0	5
2024.03.22	13:15:00	2166.07	2167.58	2165.93	2166.76	1220	0	5
2024.03.22	13:30:00	2166.77	2168.11	2166.13	2167.45	1464	0	5
2024.03.22	13:45:00	2167.44	2168.66	2166.93	2167.24	1382	0	5
2024.03.22	14:00:00	2167.24	2168.16	2166.64	2167.63	1255	0	5
2024.03.22	14:15:00	2167.64	2168.16	2166.54	2167.17	1039	0	5
2024.03.22	14:30:00	2167.17	2167.80	2165.54	2165.95	1079	0	5
