<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.16	14:00:00	5004.42	5008.14	4993.04	5002.02	12722	0	6
2026.02.16	15:00:00	5002.01	5003.82	4989.82	4997.30	14543	0	6
2026.02.16	16:00:00	4997.30	4999.64	4981.60	4988.37	17340	0	6
2026.02.16	17:00:00	4988.36	4988.36	4968.98	4979.76	19622	0	6
2026.02.16	18:00:00	4979.76	4990.38	4972.94	4988.14	14786	0	6
2026.02.16	19:00:00	4988.14	4996.09	4988.04	4991.70	8092	0	6
2026.02.16	20:00:00	4991.80	4997.70	4988.03	4994.66	6548	0	6
2026.02.16	21:00:00	4994.64	4996.41	4990.27	4993.64	3823	0	6
2026.02.17	01:00:00	4996.25	5000.72	4985.24	4989.79	15040	0	6
2026.02.17	02:00:00	4989.79	4991.36	4932.07	4935.80	27007	0	6
2026.02.17	03:00:00	4935.79	4963.98	4922.00	4957.70	30036	0	6
2026.02.17	04:00:00	4957.66	4971.58	4954.38	4967.00	15222	0	6
2026.02.17	05:00:00	4967.00	4970.16	4950.02	4956.87	17167	0	6
2026.02.17	06:00:00	4956.87	4960.27	4946.76	4952.83	11189	0	6
2026.02.17	07:00:00	4952.83	4954.28	4854.53	4888.92	46637	0	6
2026.02.17	08:00:00	4888.95	4914.41	4886.09	4910.42	24881	0	6
2026.02.17	09:00:00	4910.41	4922.38	4903.84	4917.12	19418	0	6
2026.02.17	10:00:00	4917.12	4930.26	4916.42	4920.76	19997	0	6
2026.02.17	11:00:00	4920.74	4932.40	4912.34	4926.03	20012	0	6
2026.02.17	12:00:00	4926.03	4939.37	4907.46	4913.21	18791	0	6
2026.02.17	13:00:00	4913.21	4931.12	4913.18	4929.42	15185	0	6
2026.02.17	14:00:00	4929.42	4944.48	4928.36	4932.08	19453	0	6
2026.02.17	15:00:00	4932.06	4933.36	4869.67	4870.78	40380	0	6
2026.02.17	16:00:00	4870.78	4907.24	4842.16	4863.17	86553	0	6
2026.02.17	17:00:00	4863.16	4882.58	4849.10	4878.62	82240	0	6
2026.02.17	18:00:00	4878.62	4893.82	4868.59	4869.31	54601	0	6
2026.02.17	19:00:00	4869.30	4871.29	4849.74	4865.14	41463	0	6
2026.02.17	20:00:00	4865.16	4910.92	4862.54	4899.03	43757	0	6
2026.02.17	21:00:00	4899.03	4901.28	4876.63	4880.34	35751	0	6
2026.02.17	22:00:00	4880.34	4884.16	4873.20	4878.02	37624	0	6
2026.02.17	23:00:00	4878.02	4886.82	4874.58	4877.10	9087	0	6
2026.02.18	01:00:00	4879.22	4884.43	4854.10	4859.19	20624	0	6
2026.02.18	02:00:00	4859.19	4883.39	4858.34	4874.89	22106	0	6
2026.02.18	03:00:00	4874.89	4893.40	4874.40	4890.05	21471	0	6
2026.02.18	04:00:00	4890.00	4907.41	4886.58	4905.41	13815	0	6
2026.02.18	05:00:00	4905.41	4922.18	4904.32	4920.80	12850	0	6
2026.02.18	06:00:00	4920.79	4940.86	4917.74	4934.24	14386	0	6
2026.02.18	07:00:00	4934.24	4939.96	4929.70	4933.56	10404	0	6
2026.02.18	08:00:00	4933.53	4936.09	4925.15	4930.87	13242	0	6
2026.02.18	09:00:00	4930.87	4942.26	4929.27	4930.38	11787	0	6
2026.02.18	10:00:00	4930.34	4932.42	4916.76	4917.19	12646	0	6
2026.02.18	11:00:00	4917.19	4923.16	4913.04	4917.41	12403	0	6
2026.02.18	12:00:00	4917.43	4924.59	4909.17	4914.59	19370	0	6
2026.02.18	13:00:00	4914.59	4917.72	4906.47	4912.98	11492	0	6
2026.02.18	14:00:00	4912.98	4947.15	4912.08	4943.02	19282	0	6
2026.02.18	15:00:00	4943.03	4968.98	4943.02	4954.45	32449	0	6
2026.02.18	16:00:00	4954.44	4994.35	4952.28	4991.81	39598	0	6
2026.02.18	17:00:00	4991.81	5009.00	4991.46	4998.11	36551	0	6
2026.02.18	18:00:00	4998.11	5010.98	4991.08	5000.50	27904	0	6
2026.02.18	19:00:00	5000.50	5001.80	4993.40	4999.30	21474	0	6
2026.02.18	20:00:00	4999.29	5003.26	4980.61	4987.43	29893	0	6
2026.02.18	21:00:00	4987.43	4995.46	4972.92	4980.58	34222	0	6
2026.02.18	22:00:00	4980.58	4987.65	4974.92	4984.90	31561	0	6
2026.02.18	23:00:00	4984.87	4986.50	4975.42	4977.24	6209	0	6
2026.02.19	01:00:00	4975.45	4988.68	4960.66	4976.04	16848	0	6
2026.02.19	02:00:00	4976.05	4976.34	4960.73	4961.43	19743	0	6
2026.02.19	03:00:00	4961.43	4975.71	4961.06	4973.25	13167	0	6
2026.02.19	04:00:00	4973.25	4977.48	4965.85	4968.28	9643	0	6
2026.02.19	05:00:00	4968.27	4983.32	4966.41	4981.60	10229	0	6
2026.02.19	06:00:00	4981.60	4985.46	4976.58	4984.32	8379	0	6
2026.02.19	07:00:00	4984.26	4998.70	4984.20	4996.96	8826	0	6
2026.02.19	08:00:00	4996.96	5019.88	4996.64	5018.37	11652	0	6
2026.02.19	09:00:00	5018.38	5021.72	5008.98	5010.37	11846	0	6
2026.02.19	10:00:00	5010.31	5022.20	5006.42	5017.17	15105	0	6
2026.02.19	11:00:00	5017.25	5020.44	4992.60	4995.83	16850	0	6
2026.02.19	12:00:00	4995.84	4996.21	4981.54	4993.39	18723	0	6
2026.02.19	13:00:00	4993.39	4996.43	4977.75	4984.48	17391	0	6
2026.02.19	14:00:00	4984.48	4992.85	4980.48	4984.90	15316	0	6
2026.02.19	15:00:00	4984.95	4998.64	4970.80	4997.18	30140	0	6
2026.02.19	16:00:00	4997.18	5010.65	4962.96	5005.78	57902	0	6
2026.02.19	17:00:00	5005.78	5022.33	4995.98	5013.84	62767	0	6
2026.02.19	18:00:00	5013.86	5014.39	4989.94	4995.14	34374	0	6
2026.02.19	19:00:00	4995.14	5001.68	4982.28	4985.00	24306	0	6
2026.02.19	20:00:00	4985.06	4989.38	4975.26	4981.73	23016	0	6
2026.02.19	21:00:00	4981.72	4990.35	4978.38	4987.94	18567	0	6
2026.02.19	22:00:00	4987.95	5003.43	4987.95	5001.81	21652	0	6
2026.02.19	23:00:00	5001.81	5004.16	4992.00	4995.96	6793	0	6
2026.02.20	01:00:00	4999.31	5008.17	4985.06	4987.80	14377	0	6
2026.02.20	02:00:00	4987.78	5006.92	4985.20	5006.48	11316	0	5
2026.02.20	03:00:00	5006.46	5014.79	4995.26	4997.07	17596	0	5
2026.02.20	04:00:00	4997.05	5007.49	4992.78	4996.22	12994	0	5
2026.02.20	05:00:00	4996.17	4999.27	4981.43	4988.12	12619	0	5
2026.02.20	06:00:00	4988.14	5003.36	4986.73	4999.79	6387	0	5
2026.02.20	07:00:00	4999.79	5012.15	4998.18	5012.15	9544	0	5
2026.02.20	08:00:00	5012.15	5030.02	5011.98	5020.71	14839	0	5
2026.02.20	09:00:00	5020.72	5028.17	5006.07	5006.46	15917	0	5
2026.02.20	10:00:00	5006.46	5031.25	5005.10	5028.97	18762	0	5
2026.02.20	11:00:00	5028.97	5042.54	5027.42	5027.69	22100	0	5
2026.02.20	12:00:00	5027.70	5038.54	5019.41	5034.77	18230	0	5
2026.02.20	13:00:00	5034.78	5034.89	5015.62	5017.42	15603	0	5
2026.02.20	14:00:00	5017.42	5026.78	5007.14	5025.35	20508	0	5
2026.02.20	15:00:00	5025.36	5048.77	5018.29	5043.65	28843	0	5
2026.02.20	16:00:00	5043.78	5060.48	5037.26	5054.57	46091	0	5
2026.02.20	17:00:00	5054.57	5064.10	4990.81	5042.71	131069	0	5
2026.02.20	18:00:00	5042.69	5069.20	5038.84	5066.64	62146	0	5
2026.02.20	19:00:00	5066.66	5076.32	5054.64	5073.01	48772	0	5
2026.02.20	20:00:00	5072.99	5075.23	5054.06	5071.48	51872	0	5
2026.02.20	21:00:00	5071.52	5079.90	5069.02	5079.53	22500	0	5
2026.02.20	22:00:00	5079.53	5098.09	5076.95	5096.86	33857	0	5
2026.02.20	23:00:00	5096.85	5108.04	5091.36	5107.80	10885	0	5
2026.02.23	01:00:00	5109.50	5171.99	5096.92	5165.37	27398	0	5
2026.02.23	02:00:00	5165.37	5166.68	5129.53	5144.61	39106	0	5
2026.02.23	03:00:00	5144.61	5167.74	5139.81	5157.47	30791	0	5
2026.02.23	04:00:00	5157.29	5176.64	5156.73	5173.66	21504	0	5
2026.02.23	05:00:00	5173.68	5175.98	5152.18	5166.84	20364	0	5
2026.02.23	06:00:00	5166.83	5168.86	5155.58	5160.89	15223	0	5
2026.02.23	07:00:00	5160.89	5161.79	5152.33	5158.34	12957	0	5
2026.02.23	08:00:00	5158.32	5161.58	5145.03	5145.75	16094	0	5
2026.02.23	09:00:00	5145.75	5154.40	5124.85	5136.80	27424	0	5
2026.02.23	10:00:00	5136.78	5142.11	5122.11	5140.25	24364	0	5
2026.02.23	11:00:00	5140.24	5150.10	5139.12	5149.61	14735	0	5
2026.02.23	12:00:00	5149.61	5163.62	5145.19	5162.94	17932	0	5
2026.02.23	13:00:00	5162.94	5163.49	5146.48	5149.76	16239	0	5
2026.02.23	14:00:00	5149.76	5165.50	5145.45	5164.15	20048	0	5
2026.02.23	15:00:00	5164.15	5165.33	5143.70	5146.36	24599	0	5
2026.02.23	16:00:00	5146.36	5200.53	5141.49	5192.41	44716	0	5
2026.02.23	17:00:00	5192.40	5205.06	5180.72	5196.20	58810	0	5
2026.02.23	18:00:00	5196.20	5219.18	5175.70	5210.15	54743	0	5
2026.02.23	19:00:00	5210.19	5213.61	5191.20	5208.03	37919	0	5
2026.02.23	20:00:00	5208.05	5215.96	5201.09	5209.67	26389	0	5
2026.02.23	21:00:00	5209.67	5218.51	5206.65	5215.72	24832	0	5
2026.02.23	22:00:00	5215.78	5237.86	5215.14	5236.40	30878	0	5
2026.02.23	23:00:00	5236.41	5237.48	5226.56	5227.50	10287	0	5
2026.02.24	01:00:00	5230.39	5249.86	5222.55	5235.70	18960	0	5
2026.02.24	02:00:00	5235.71	5238.27	5217.88	5223.90	27380	0	5
2026.02.24	03:00:00	5223.90	5223.91	5145.44	5177.42	84512	0	5
2026.02.24	04:00:00	5177.43	5190.92	5165.68	5189.97	28471	0	5
2026.02.24	05:00:00	5189.94	5191.87	5171.12	5172.13	17434	0	5
2026.02.24	06:00:00	5172.12	5175.28	5161.26	5168.29	14515	0	5
2026.02.24	07:00:00	5168.26	5185.76	5164.02	5182.65	20173	0	5
2026.02.24	08:00:00	5182.65	5184.90	5155.58	5173.58	21113	0	5
2026.02.24	09:00:00	5173.58	5183.98	5164.20	5179.42	21174	0	5
2026.02.24	10:00:00	5179.42	5182.15	5165.16	5173.60	19682	0	5
2026.02.24	11:00:00	5173.60	5180.44	5166.62	5171.46	14537	0	5
2026.02.24	12:00:00	5171.46	5181.54	5162.88	5172.90	14484	0	5
2026.02.24	13:00:00	5172.90	5178.66	5171.06	5172.71	10066	0	5
2026.02.24	14:00:00	5172.71	5173.46	5144.92	5150.61	26223	0	5
2026.02.24	15:00:00	5150.61	5161.29	5109.20	5115.05	49218	0	5
2026.02.24	16:00:00	5115.04	5139.37	5092.30	5128.69	81325	0	5
2026.02.24	17:00:00	5128.58	5155.36	5118.10	5150.39	54621	0	5
2026.02.24	18:00:00	5150.37	5152.43	5130.78	5141.90	43144	0	5
2026.02.24	19:00:00	5141.90	5163.86	5141.76	5163.81	30322	0	5
2026.02.24	20:00:00	5163.81	5170.11	5153.76	5160.15	28934	0	5
2026.02.24	21:00:00	5160.14	5160.50	5146.49	5154.06	23065	0	5
2026.02.24	22:00:00	5154.08	5173.25	5146.69	5164.08	31108	0	5
2026.02.24	23:00:00	5164.08	5165.82	5140.12	5143.76	10428	0	5
2026.02.25	01:00:00	5143.77	5152.22	5120.63	5146.74	19920	0	5
2026.02.25	02:00:00	5146.75	5156.40	5136.96	5152.38	19660	0	5
2026.02.25	03:00:00	5152.38	5190.00	5144.33	5176.87	35821	0	5
2026.02.25	04:00:00	5176.87	5193.95	5166.08	5180.71	22808	0	5
2026.02.25	05:00:00	5180.71	5190.10	5178.43	5182.32	17520	0	5
2026.02.25	06:00:00	5182.32	5185.25	5172.28	5182.76	10291	0	5
2026.02.25	07:00:00	5182.76	5210.63	5182.73	5201.84	18214	0	5
2026.02.25	08:00:00	5201.85	5201.85	5182.44	5194.83	20923	0	5
2026.02.25	09:00:00	5194.83	5195.15	5180.21	5184.77	12336	0	5
2026.02.25	10:00:00	5184.78	5197.20	5184.18	5185.39	15817	0	5
2026.02.25	11:00:00	5185.36	5194.64	5176.10	5193.37	16313	0	5
2026.02.25	12:00:00	5193.39	5195.23	5169.82	5175.17	17375	0	5
2026.02.25	13:00:00	5175.17	5182.57	5155.14	5181.56	18454	0	5
2026.02.25	14:00:00	5181.57	5187.38	5177.42	5182.86	14181	0	5
2026.02.25	15:00:00	5182.86	5191.55	5181.13	5185.28	24987	0	5
2026.02.25	16:00:00	5185.28	5193.47	5159.10	5191.44	42459	0	5
2026.02.25	17:00:00	5191.42	5202.66	5172.66	5194.90	39757	0	5
2026.02.25	18:00:00	5194.89	5213.88	5189.82	5212.27	28775	0	5
2026.02.25	19:00:00	5212.30	5217.69	5203.76	5207.00	23644	0	5
2026.02.25	20:00:00	5207.01	5207.69	5199.70	5202.04	5531	0	5
2026.02.25	21:00:00	5202.05	5208.54	5191.48	5205.12	17597	0	5
2026.02.25	22:00:00	5205.09	5206.30	5144.33	5152.05	42282	0	5
2026.02.25	23:00:00	5152.03	5173.57	5150.45	5164.84	21572	0	5
2026.02.26	01:00:00	5168.56	5181.97	5159.51	5163.11	21220	0	5
2026.02.26	02:00:00	5163.18	5192.17	5155.25	5188.39	24256	0	5
2026.02.26	03:00:00	5188.40	5198.44	5178.30	5191.56	34254	0	5
2026.02.26	04:00:00	5191.55	5195.66	5174.10	5184.41	22896	0	5
2026.02.26	05:00:00	5184.41	5193.86	5183.07	5192.65	15036	0	5
2026.02.26	06:00:00	5192.65	5199.12	5190.56	5192.73	11035	0	5
2026.02.26	07:00:00	5192.75	5205.54	5190.21	5198.29	19403	0	5
2026.02.26	08:00:00	5198.30	5199.70	5190.51	5193.32	16883	0	5
2026.02.26	09:00:00	5193.32	5194.75	5179.72	5186.07	17229	0	5
2026.02.26	10:00:00	5186.04	5190.87	5167.62	5179.41	28637	0	5
2026.02.26	11:00:00	5179.39	5189.52	5173.97	5186.45	15688	0	5
2026.02.26	12:00:00	5186.45	5190.12	5165.40	5171.47	15734	0	5
2026.02.26	13:00:00	5171.47	5178.38	5161.14	5164.74	14720	0	5
2026.02.26	14:00:00	5164.75	5187.81	5157.52	5183.75	19706	0	5
2026.02.26	15:00:00	5183.75	5186.07	5164.30	5166.49	21704	0	5
2026.02.26	16:00:00	5166.35	5176.92	5136.18	5165.01	26268	0	5
2026.02.26	17:00:00	5164.82	5193.06	5127.92	5185.64	31585	0	5
2026.02.26	18:00:00	5185.59	5187.25	5171.82	5179.82	23277	0	5
